"Qty";"Value";"Device";"Package";"Parts";"Description";"DISTRIBUTOR";"DISTRIBUTOR_REF";"MANUFACTURER";"MANUFACTURER_REF";"POPULARITY";"SPICEPREFIX";
"1";"";"C-EUC0603K";"C0603K";"C6";"CAPACITOR, European symbol";"";"";"";"";"30";"C";
"2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2";"LED";"";"";"";"";"26";"";
"2";"100n";"C-EUC0603K";"C0603K";"C8, C10";"CAPACITOR, European symbol";"";"";"";"";"30";"C";
"1";"10104111-0001LF";"10104111-0001LF";"FRAMATOME_10104111-0001LF";"J1";"10104111-0001LF:Conn USB Type A/B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R.";"Mouser";"649-10104111-0001LF";"Amphenol ICC";"10104111-0001LF";"";"";
"2";"10K";"R-EU_R0603";"R0603";"R1, R5";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"3";"10u";"C-EUC0603K";"C0603K";"C2, C7, C9";"CAPACITOR, European symbol";"";"";"";"";"30";"C";
"1";"1X16_SMALLPAD";"1X16_SMALLPAD";"1X16";"JP1";"";"";"";"";"";"";"";
"1";"1X20_SMALLPAD";"1X20_SMALLPAD";"1X20";"JP2";"";"";"";"";"";"";"";
"3";"1u";"C-EUC0603K";"C0603K";"C1, C3, C4";"CAPACITOR, European symbol";"";"";"";"";"30";"C";
"2";"2K";"R-EU_R0603";"R0603";"R6, R9";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"4";"470R";"R-EU_R0603";"R0603";"R2, R3, R7, R8";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"1";"B5819LW";"B5819LW";"SOD123";"D2";"B5819W: SCHOTTKY BARRIER DIODE";"LCSC";"C181206";"Guangdong Hottech";"B5819LW";"";"";
"1";"BCM857";"BCM857";"SOT363_INFINEON";"U2";"Maximum Output Current: 500mA （VIN＝4.3V,VOUT＝3.3V）";"Mouser";"771-BCM857DS135";"Nexperia";"BCM857DS,135";"";"";
"2";"CJ2301S1";"CJ2301S1";"SOT23";"Q1, Q2";"CJ2301S1: P-Channel 20-V(D-S) MOSFET";"LCSC";"C8547";"Changjiang Electronics Tech";"CJ2301 S1";"";"";
"1";"CP2104-F03-GM";"CP2104-F03-GM";"QFN50P400X400X80-25N";"U6";"Silabs CP2104 USB to UART Bridge";"Mouser";"None";"Silabs";"CP2104";"";"";
"1";"ESP32-WROOM-32D";"ESP32-WROOM-32D";"MODULE_ESP32-WROOM-32D";"U1";"IC: SoC; GPIO, I2C, I2S, IR, SD, SDIO, SPI, UART; 2.7÷3.6VDC; 20dBm";"Mouser";"356-ESP32WROOM-32D";"Espressif Systems";"ESP32-WROOM-32D";"";"";
"1";"ME6211";"ME6211";"SOT23-5";"U3";"ME6211: High Speed LDO Regulators, High PSRR, Low noise, ME6211 Series";"LCSC";"C82942";"MICRONE";"ME6211C33M5G-N";"";"";
"1";"PTS815SJK250SMTR";"PTS815SJK250SMTR";"PTS815SJK250SMTR";"SW1";"Datasheet: https://www.mouser.de/datasheet/2/60/pts815-1535658.pdf";"Mouser";"611-PTS815SJK250SMTR";"C&K";" PTS815SJK250SMTRLFS";"";"";
"1";"S2B-PH-SM4-TB";"S2B-PH-SM4-TB";"JST_S2B-PH-SM4-TB";"P1";"CONN HEADER PH SIDE 2POS 2MM SMD";"Farnell";"9492615";"JST Sales";"S2B-PH-SM4-TB";"";"";
"1";"TP4054";"TP4054";"SOT23-5";"U5";"TP4054: Standalone Linear Li-lon Battery Charger with Thermal Regulation in SOT";"LCSC";"C32574";"TOPPOWER";"TP4054";"";"";
"1";"UMH3N";"UMH3N";"SOT363_INFINEON";"U4";"UMH3N: NPN  100mA  50V  Complex Digital Transistors (Bias Resistor Built-in Transistors)";"Mouser";" 755-UMH3NFHATN ";"Rohm";"UMH3NFHATN";"";"";
